firstname,lastname,position,organization,phone,fax,email,personalemail,address,city,state,zip,orgtype,mission_area
Sherry,James,Fitness centre manager,Terry-Schmidt,(530) 198-4459,(797) 505-1658,Sherry.James@dixon-alexander.com,,26614 Carlos Mews,Thompsonmouth,Missouri,01067,sand,TCD-T
Marcus,Smith,Software engineer,Pearson-Richardson,(343) 660-4189,,Marcus.Smith@sanders-richmond.com,,364 Joseph Ramp,East Matthew,North Carolina,70359,teal,ADAH-
Shannon,Horton,Psychotherapist,"Smith, Fisher and Suarez",(060) 354-3073,(334) 437-9732,Shannon.Horton@davis.com,Shannon.Horton@davis.com.smil.mil,4139 Gillespie Pine,South Christopherbury,Colorado,87434,green,CFWA
Alexandra,Solis,Network engineer,Johnson-Manning,(248) 448-0614,(977) 413-4973,Alexandra.Solis@lewis.com,,6117 Kimberly Shores,Williamside,Texas,37479,sand,LWT-BRWC
Kimberly,Garrett,Travel agency manager,Sherman Ltd,(982) 302-5877,,Kimberly.Garrett@clark-davis.com,,6637 Joshua Gardens,North Michaelside,Wyoming,05532,green,GO-LW
Jasmine,Waters,Newspaper journalist,Garcia-Chavez,(775) 289-6171,,Jasmine.Waters@hunt.biz,,3923 Pamela Forks,Russellborough,Kansas,33015,teal,TSNH-MUT
Jonathon,Collins,Planning and development surveyor,Christian-Lee,(409) 265-2240,,Jonathon.Collins@crawford.com,Jonathon.Collins@crawford.com.smil.mil,36202 Chapman Squares,Port Chelseafort,Texas,77631,aqua,CFWA
Laura,Clay,Veterinary surgeon,"English, Archer and Powell",(132) 351-3561,(814) 597-5532,Laura.Clay@gordon-roberts.info,,615 Scott Dale,Davidshire,South Dakota,38389,teal,GLB
Sarah,Barnes,Arts development officer,"Flores, Huerta and Pierce",(569) 299-9315,(244) 769-9062,Sarah.Barnes@atkins.net,,5786 Leach Isle,Markchester,Michigan,45356,sand,ADAH-
Keith,Martin,"Presenter, broadcasting",Hammond PLC,(243) 328-8217,,Keith.Martin@conner.com,,72795 Beard Row,New Jason,Vermont,10231,blue,GLB
